빈도,자동정규화명,수정할표준명,별칭(쉼표구분),양념여부,비고
491,양파,,,,
479,마늘,,,,
433,소금,,,Y,
294,설탕,,,Y,
251,간장,,,Y,
248,물,,,Y,
237,당근,,,,
205,후춧가루,,,Y,
199,참기름,,,Y,
181,식초,,,Y,
172,달걀,,,,
169,대파,,,,
138,식용유,,,Y,
129,우유,,,,
126,토마토,,,,
124,버터,,,,
124,홍고추,,,,
113,밀가루,,,,
112,두부,,,,
101,고춧가루,,,Y,
99,파프리카,,,,
95,후추,,,Y,
94,올리브유,,,Y,
92,표고버섯,,,,
92,감자,,,,
91,통깨,,,Y,
91,오이,,,,
91,레몬즙,,,,
85,생크림,,,,
85,올리브오일,,,,
83,꿀,,,Y,
82,무,,,,
81,생강,,,,
77,애호박,,,,
76,사과,,,,
72,깻잎,,,,
69,청양고추,,,,
69,다시마,,,,
68,파,,,,
68,배,,,,
67,단호박,,,,
67,올리고당,,,Y,
66,방울토마토,,,,
65,소고기,,,,
63,시금치,,,,
63,레몬,,,,
62,미나리,,,,
60,된장,,,Y,
58,가지,,,,
58,청고추,,,,
58,돼지고기,,,,
58,고추장,,,Y,
56,쌀,,,,
53,새우,,,,
53,새송이버섯,,,,
52,닭가슴살,,,,
52,고구마,,,,
51,호두,,,,
48,찹쌀가루,,,,
46,부추,,,,
46,대추,,,,
46,밥,,,,
44,마요네즈,,,Y,
44,전분,,,Y,
43,양송이버섯,,,,
40,브로콜리,,,,
40,느타리버섯,,,,
39,참깨,,,Y,
39,흰후추,,,,
39,빵가루,,,,
38,닭고기,,,,
38,팽이버섯,,,,
38,맛술,,,Y,
36,유자청,,,,
35,양배추,,,,
35,마늘다진것,,,,
34,쪽파,,,,
34,통후추,,,,
34,녹말가루,,,Y,
33,잣,,,,
32,카레가루,,,,
32,맛간장,,,,
31,바나나,,,,
30,매실액,,,Y,
30,청피망,,,,
30,바질,,,,
29,아몬드,,,,
29,청주,,,Y,
29,파슬리가루,,,,
28,땅콩,,,,
28,월계수잎,,,Y,
27,오렌지,,,,
27,배추,,,,
26,양상추,,,,
26,로즈마리,,,,
26,오징어,,,,
26,육수,,,,
25,흑임자,,,,
25,숙주,,,,
25,튀김기름,,,Y,
24,들기름,,,Y,
24,파인애플,,,,
24,계란,,,,
23,국간장,,,,
23,물엿,,,Y,
23,비트,,,,
23,어린잎,,,,
23,멸치,,,,
23,쇠고기,,,,
23,생강즙,,,Y,
23,정종,,,,
23,아스파라거스,,,,
22,찹쌀,,,,
22,쑥갓,,,,
22,현미,,,,
22,요거트,,,,
21,청경채,,,,
21,풋고추,,,,
21,치즈,,,,
21,연근,,,,
21,홍피망,,,,
21,닭육수,,,,
21,실파,,,,
20,두유,,,,
20,강력분,,,,
19,콩나물,,,,
19,베이컨,,,,
19,들깻가루,,,,
19,생강청,,,,
19,연어,,,,
19,매실청,,,,
18,발사믹식초,,,,
18,무순,,,,
18,브로컬리,,,,
17,양송이,,,,
17,건새우,,,,
17,바지락,,,,
17,피망,,,,
17,밤,,,,
17,완두콩,,,,
16,붉은 고추,,,,
16,주꾸미,,,,
16,샐러리,,,,
16,김,,,,
16,파마산치즈,,,,
16,굴소스,,,Y,
16,깨소금,,,Y,
16,양파다진것,,,,
15,참나물,,,,
15,함초소금,,,,
15,계피가루,,,,
15,아보카도,,,,
15,튀김가루,,,,
15,케첩,,,Y,
15,박력분,,,,
14,들깨가루,,,,
14,파슬리,,,,
14,전복,,,,
14,견과류,,,,
14,우엉,,,,
13,칵테일새우,,,,
13,치커리,,,,
13,블루베리,,,,
13,건포도,,,,
13,김치,,,,
13,화이트와인,,,,
13,영양부추,,,,
13,검은깨,,,,
12,연두부,,,,
12,크랜베리,,,,
12,실곤약,,,,
12,인삼,,,,
12,당면,,,,
12,마늘기름,,,,
12,모짜렐라치즈,,,,
12,어린잎채소,,,,
12,마,,,,
12,달걀흰자,,,,
12,떡볶이떡,,,,
12,키위,,,,
12,사과식초,,,,
12,물전분,,,,
11,딸기,,,,
11,플레인요거트,,,,
11,함초,,,,
11,강황가루,,,,
11,라이스페이퍼,,,,
11,건다시마,,,,
11,새우살,,,,
11,식빵,,,,
11,오레가노,,,,
11,현미유,,,Y,
11,베이킹파우더,,,,
10,순두부,,,,
10,메추리알,,,,
10,곤약,,,,
10,새우젓,,,,
10,달걀노른자,,,,
10,콩가루,,,,
10,닭고기살,,,,
10,라면,,,,
10,고추기름,,,,
10,홍합,,,,
10,레드와인,,,,
10,가다랑어포,,,,
10,관자,,,,
10,판젤라틴,,,,
10,토마토케첩,,,,
10,쌀가루,,,,
10,2인분 기준<br>,,,,
10,1인분 기준<br>,,,,
10,아몬드가루,,,,
10,레몬주스,,,,
9,적양배추,,,,
9,머스터드,,,Y,
9,녹말,,,,
9,백김치,,,,
9,스파게티,,,,
9,국멸치,,,,
9,오렌지주스,,,,
9,노랑파프리카,,,,
9,토마토소스,,,,
9,수삼,,,,
9,깨,,,,
9,진간장,,,,
9,고사리,,,,
9,건표고버섯,,,,
9,콩기름,,,,
9,상추,,,,
9,생강다진것,,,,
8,적양파,,,,
8,탄산수,,,,
8,통마늘,,,,
8,새싹채소,,,,
8,새싹,,,,
8,크림치즈,,,,
8,돼지등심,,,,
8,감자전분,,,,
8,알배추,,,,
8,미숫가루,,,,
8,홍시,,,,
8,플레인 요거트,,,,
8,이스트,,,,
8,2인분 ] 양파,,,,
7,노랑 파프리카,,,,
7,호박씨,,,,
7,부침가루,,,,
7,홍파프리카,,,,
7,황파프리카,,,,
7,겨자가루,,,,
7,발사믹소스,,,,
7,와사비,,,,
7,천일염,,,,
7,오미자,,,,
7,고운 고춧가루,,,,
7,취나물,,,,
7,연겨자,,,,
7,참외,,,,
7,더덕,,,,
7,토마토페이스트,,,,
7,파프리카가루,,,,
7,고등어,,,,
7,목이버섯,,,,
7,캐슈넛,,,,
7,황설탕,,,,
7,포도주스,,,,
7,낙지,,,,
7,알룰로스,,,,
7,파슬리다진것,,,,
7,파다진것,,,,
6,빨강 파프리카,,,,
6,검은콩,,,,
6,모시조개,,,,
6,건미역,,,,
6,식용꽃,,,,
6,어간장,,,,
6,옥수수,,,,
6,도라지,,,,
6,닭다리살,,,,
6,케일,,,,
6,물녹말,,,,
6,백년초가루,,,,
6,미역,,,,
6,햄,,,,
6,칠리소스,,,,
6,사워크림,,,,
6,체리,,,,
6,곶감,,,,
6,검정깨,,,,
6,아몬드슬라이스,,,,
6,자두,,,,
6,유부,,,,
6,다시마국물,,,,
6,적채,,,,
6,은행,,,,
6,달걀물,,,,
6,땅콩버터,,,,
6,현미밥,,,,
6,스테비아,,,,
6,흰후춧가루,,,,
